Robot_ID,Region,Motor_Temperature,Vibration_Level,Power_Consumption,Failure
Robot_3,Urban,50.348618,0.10248981,14.83577,No
Robot_2,Rural,52.383488,0.101586364,16.734425,No
Robot_3,Urban,44.8603,0.096157216,12.076409,No
Robot_1,Urban,56.54284,0.11401872,10.650035,No
Robot_2,Urban,50.465508,0.1017336,11.590613,Yes
Robot_2,Urban,51.273655,0.09831969,19.888374,No
Robot_2,Rural,39.706505,0.07993204,15.557618,No
Robot_2,Rural,50.359524,0.10038198,13.177294,No
Robot_2,Urban,44.5205,0.09229902,16.708153,Yes
Robot_1,Rural,45.78307,0.090885796,19.991848,Yes
Robot_2,Urban,61.413643,0.11973069,10.784043,Yes
Robot_1,Urban,57.586185,0.11160581,17.337898,No
Robot_3,Urban,39.88961,0.084504776,10.245641,Yes
Robot_1,Rural,64.53495,0.13174704,19.615843,Yes
Robot_3,Urban,50.499752,0.1008343,18.064165,No
Robot_1,Urban,53.05552,0.10124101,19.858341,No
Robot_1,Rural,47.12236,0.09764799,13.914241,No
Robot_2,Rural,50.285954,0.10052496,12.666736,No
Robot_2,Rural,52.2554,0.10305811,12.738403,No
Robot_2,Urban,48.78441,0.10072029,11.516561,No
Robot_1,Urban,52.985508,0.10134896,19.839012,No
Robot_1,Rural,46.732105,0.09732647,13.507766,No
Robot_1,Urban,51.79718,0.101821594,19.281357,No
Robot_3,Rural,53.10862,0.109947145,10.549203,No
Robot_2,Rural,39.244057,0.07804239,15.683018,No
Robot_2,Rural,51.436558,0.102158085,12.392814,No
Robot_2,Rural,51.266464,0.101580665,13.109388,No
Robot_3,Rural,38.838074,0.09116299,10.00428,Yes
Robot_1,Rural,64.13771,0.12694514,19.11572,Yes
Robot_3,Urban,50.945953,0.101094715,18.540854,No
Robot_1,Urban,49.097332,0.10096295,15.928456,No
Robot_3,Urban,49.102272,0.10069731,14.937817,No
Robot_2,Urban,52.308224,0.103008464,16.600384,No
Robot_3,Rural,50.96417,0.10291397,16.578157,No
Robot_3,Rural,59.598125,0.11595932,10.616387,Yes
Robot_2,Rural,41.206192,0.082079045,19.655102,No
Robot_2,Urban,51.827892,0.10344872,12.929012,No
Robot_2,Rural,40.561996,0.08074962,19.545813,No
Robot_3,Rural,51.68152,0.112608984,10.068469,Yes
Robot_1,Rural,46.651222,0.09917174,12.506619,Yes
Robot_1,Urban,50.185257,0.10557544,10.904512,No
Robot_3,Urban,51.191532,0.10142147,18.5618,No
Robot_2,Rural,54.20403,0.10627855,11.599421,No
Robot_1,Urban,51.5872,0.10158982,19.25537,No
Robot_3,Rural,50.806377,0.104572095,12.9948015,No
Robot_1,Urban,53.125706,0.102317385,19.719372,No
Robot_1,Rural,55.419834,0.110301256,10.264767,No
Robot_3,Urban,52.53466,0.10162708,19.585203,No
Robot_1,Urban,48.58642,0.10066363,15.00843,No
Robot_2,Urban,46.756386,0.09376648,19.793665,Yes
Robot_1,Rural,51.657024,0.10421369,14.083301,No
Robot_3,Rural,50.12916,0.102295496,15.652994,No
Robot_1,Rural,47.30999,0.097947285,13.81464,No
Robot_2,Rural,51.51752,0.10228447,12.409199,No
Robot_2,Rural,45.051376,0.089795865,19.3791,No
Robot_1,Urban,50.498047,0.103665136,14.042867,No
Robot_2,Rural,48.815235,0.09640743,17.715773,No
Robot_1,Rural,37.41974,0.05764874,11.622147,Yes
Robot_2,Urban,48.16488,0.097423516,10.968571,Yes
Robot_2,Urban,50.465683,0.10125678,14.270695,No
Robot_2,Rural,47.33784,0.0950855,16.211292,No
Robot_3,Rural,43.996803,0.08289168,19.996881,Yes
Robot_1,Rural,50.774555,0.10136387,12.162974,Yes
Robot_3,Urban,54.818787,0.101466894,19.973907,No
Robot_3,Urban,47.79326,0.096096724,19.244574,No
Robot_1,Urban,44.75994,0.09473117,15.674373,No
Robot_2,Urban,51.70052,0.103561856,10.274345,Yes
Robot_2,Urban,46.511467,0.097062334,12.287604,No
Robot_3,Urban,51.66659,0.09994031,19.718988,No
Robot_1,Urban,52.2344,0.10087813,19.773256,No
Robot_1,Rural,51.217125,0.10352211,14.284114,No
Robot_3,Rural,53.069656,0.10675708,14.479481,No
Robot_3,Urban,49.993507,0.102258,14.033929,No
Robot_2,Urban,49.0965,0.099444985,15.1881075,No
Robot_3,Urban,50.255554,0.102639586,13.936027,No
Robot_1,Urban,53.693405,0.10170153,19.90831,No
Robot_1,Urban,48.52291,0.10092914,14.246521,No
Robot_1,Urban,52.63956,0.10179079,19.695093,No
Robot_3,Urban,51.97414,0.10322228,17.066639,No
