Robot_ID,Region,Motor_Temperature,Vibration_Level,Power_Consumption,Failure
Robot_3,Urban,49.980797,0.10163037,14.421874,No
Robot_3,Urban,50.00209,0.10154035,14.877146,No
Robot_3,Urban,49.979088,0.101639435,14.375639,No
Robot_2,Rural,50.568268,0.10127107,11.801051,No
Robot_2,Urban,50.362698,0.10095314,18.595186,No
Robot_2,Rural,50.308064,0.10219571,10.073478,No
Robot_1,Rural,50.907337,0.10335868,11.720173,Yes
Robot_2,Rural,51.020233,0.09964806,19.88647,No
Robot_1,Rural,49.972984,0.10079285,10.9484215,No
Robot_1,Urban,50.12172,0.10174537,16.17755,No
Robot_1,Urban,50.17415,0.10241848,12.026636,No
Robot_1,Rural,49.926716,0.09893643,19.426786,No
Robot_3,Urban,49.636967,0.103266805,10.306647,No
Robot_3,Rural,49.637062,0.098785914,19.755657,Yes
Robot_2,Urban,49.747322,0.09969624,12.347629,Yes
Robot_3,Rural,50.3569,0.09998032,18.31792,Yes
Robot_2,Rural,49.679123,0.097851865,16.195873,Yes
Robot_2,Urban,50.34353,0.10075038,19.156548,No
Robot_3,Rural,49.867996,0.10264918,11.115772,No
Robot_2,Urban,50.29965,0.103190295,10.042518,Yes
Robot_2,Urban,51.16979,0.09881506,18.521736,Yes
Robot_3,Urban,50.28375,0.100767985,18.595371,No
Robot_3,Urban,50.037525,0.10232715,12.830086,Yes
Robot_2,Urban,50.38186,0.101676546,14.831593,No
Robot_2,Rural,50.47362,0.10158967,10.630512,No
Robot_1,Urban,50.160736,0.101974994,14.867941,No
Robot_3,Rural,50.582237,0.100765854,18.956423,No
Robot_1,Rural,50.956554,0.10349365,11.58559,Yes
Robot_3,Rural,50.050694,0.09848347,19.790964,Yes
Robot_3,Urban,49.676163,0.10290131,10.568322,No
Robot_3,Urban,50.032497,0.10141365,15.518586,No
Robot_2,Rural,50.79701,0.100452855,18.180279,No
Robot_3,Urban,50.138863,0.10094209,17.64248,No
Robot_3,Rural,50.167763,0.10184849,14.343412,No
Robot_2,Rural,50.61961,0.10107923,13.116671,No
Robot_1,Urban,50.073925,0.10174685,16.427086,No
Robot_3,Urban,49.915142,0.10190819,13.105945,No
Robot_3,Rural,49.543884,0.10347713,10.187273,No
Robot_1,Rural,50.53114,0.10147302,16.655851,Yes
Robot_1,Rural,49.98354,0.10091864,10.69398,No
Robot_3,Rural,49.829853,0.10342586,10.745275,Yes
Robot_2,Rural,50.203976,0.09537653,19.991098,Yes
Robot_3,Urban,49.67907,0.10288487,10.588307,No
Robot_1,Rural,49.917496,0.09853394,19.795334,No
Robot_1,Rural,50.888832,0.103307314,11.784904,Yes
Robot_3,Rural,50.304306,0.10148879,16.340063,No
Robot_2,Rural,50.550446,0.10133363,11.482912,No
Robot_2,Urban,50.349724,0.10076822,18.983173,No
Robot_2,Rural,51.040886,0.0995698,19.914846,No
Robot_3,Rural,49.54665,0.103471614,10.189754,No
Robot_1,Rural,50.96709,0.10334607,11.718655,Yes
Robot_2,Rural,50.91187,0.100046046,19.532862,No
Robot_3,Rural,50.68244,0.10022996,18.406862,Yes
Robot_3,Rural,50.516685,0.099580854,18.997692,Yes
Robot_1,Rural,49.93813,0.09866331,19.75267,No
Robot_1,Rural,49.937637,0.098822825,19.641012,No
Robot_2,Urban,50.380466,0.10160263,15.494994,No
Robot_2,Rural,50.957195,0.09985617,19.776234,No
Robot_1,Urban,50.106983,0.10188681,15.0478945,No
Robot_1,Rural,50.79924,0.10430239,10.546903,Yes
Robot_2,Urban,50.34577,0.100911885,18.744637,No
Robot_1,Rural,50.974365,0.10352868,11.513738,Yes
Robot_2,Rural,50.143894,0.09699608,18.731186,Yes
Robot_2,Rural,50.033432,0.09716636,17.235054,Yes
Robot_2,Urban,50.399025,0.10227006,11.819518,No
Robot_3,Urban,49.858757,0.102307335,11.77484,No
Robot_2,Urban,50.47193,0.10271524,10.060197,Yes
Robot_3,Rural,50.124474,0.10196221,13.723469,No
Robot_3,Urban,50.032104,0.10140695,15.560273,No
Robot_3,Urban,50.06155,0.10128249,16.169376,No
Robot_1,Urban,50.117783,0.10203359,14.165922,No
Robot_1,Rural,50.980946,0.10358731,11.381248,Yes
Robot_1,Urban,50.118782,0.10214839,13.494973,No
Robot_1,Rural,50.915054,0.10350233,11.396095,Yes
Robot_1,Urban,50.070724,0.10167699,16.828201,No
Robot_3,Urban,50.006943,0.10151899,14.986697,No
Robot_3,Urban,50.02973,0.10141809,15.49817,No
Robot_1,Urban,50.08729,0.10204754,14.505075,No
Robot_2,Urban,50.35328,0.10112935,18.024,No
Robot_2,Urban,50.335526,0.10062249,19.349382,No
Robot_1,Rural,50.889843,0.10327453,11.8635645,Yes
Robot_2,Rural,51.00414,0.099705204,19.859869,No
Robot_3,Urban,50.149475,0.100887194,17.840685,No
Robot_2,Urban,50.36124,0.101300485,17.241983,No
Robot_2,Urban,50.33688,0.100607544,19.368652,No
Robot_1,Rural,50.693287,0.10222957,14.654711,Yes
Robot_1,Urban,50.607224,0.101688005,13.133208,Yes
Robot_3,Urban,50.23562,0.10042924,19.057873,No
Robot_3,Rural,50.427216,0.10117045,17.781282,No
Robot_1,Rural,50.913784,0.10407837,10.776877,Yes
Robot_3,Rural,49.976643,0.10236227,11.940884,No
Robot_2,Urban,49.742214,0.09939879,16.37554,Yes
Robot_1,Rural,50.92686,0.10287428,12.623668,Yes
Robot_2,Urban,50.91667,0.102480486,11.938638,Yes
Robot_2,Urban,50.573433,0.10178886,11.978991,Yes
Robot_1,Urban,50.131794,0.10220662,12.806962,No
Robot_2,Urban,50.297073,0.10113624,18.276117,No
Robot_3,Rural,50.206394,0.101751976,14.887514,No
Robot_2,Rural,49.823433,0.09728154,17.847258,Yes
Robot_2,Urban,50.363445,0.10136281,16.938148,No
Robot_3,Urban,49.788433,0.10242887,11.35807,No
Robot_1,Rural,49.895084,0.09868116,19.621515,No
Robot_2,Urban,49.68374,0.09822745,19.03563,Yes
Robot_2,Rural,50.850536,0.099711105,11.675879,Yes
Robot_3,Urban,49.938858,0.10180506,13.570681,No
Robot_2,Urban,50.336483,0.10069423,19.251352,No
Robot_3,Rural,49.94171,0.10331638,10.09973,Yes
Robot_2,Rural,49.997856,0.09598458,19.91227,Yes
Robot_2,Urban,50.400436,0.10198281,13.123984,No
Robot_1,Urban,50.196815,0.10199803,14.012799,No
Robot_1,Rural,49.901974,0.09851467,19.779268,No
Robot_2,Urban,50.780468,0.09684251,19.991203,Yes
Robot_1,Urban,50.10924,0.10200904,14.743026,No
Robot_3,Rural,49.760406,0.102918506,10.631226,No
Robot_2,Urban,50.362053,0.101303555,17.211826,No
Robot_1,Rural,50.97436,0.103408195,11.635148,Yes
Robot_2,Rural,50.685635,0.10084678,15.160071,No
Robot_1,Urban,50.16519,0.102605514,11.533982,No
Robot_2,Rural,50.763405,0.10057228,17.43252,No
Robot_3,Urban,50.042118,0.10171239,14.427243,No
Robot_2,Urban,50.403465,0.10247001,11.183087,No
Robot_3,Urban,50.084934,0.10117871,16.657778,No
Robot_1,Urban,50.07937,0.10186563,15.699427,No
Robot_3,Urban,50.24254,0.10038077,19.1462,No
