Robot_ID,Region,Motor_Temperature,Vibration_Level,Power_Consumption,Failure
Robot_2,Urban,50.623547,0.10009508,18.851587,No
Robot_1,Rural,47.113285,0.09541128,19.917328,No
Robot_3,Rural,47.22904,0.09640809,13.334083,Yes
Robot_3,Urban,49.652218,0.100048296,11.881907,Yes
Robot_2,Rural,50.747078,0.09970896,15.044516,No
Robot_2,Urban,50.36727,0.101013705,16.034653,No
Robot_2,Rural,50.63888,0.09995618,13.928212,No
Robot_1,Urban,48.88705,0.10174794,12.6238165,No
Robot_3,Urban,49.54872,0.1033855,10.363037,No
Robot_1,Urban,50.85432,0.10508248,10.984928,Yes
Robot_2,Urban,50.597015,0.10016606,18.715744,No
Robot_1,Rural,45.689686,0.09391188,19.96439,No
Robot_2,Rural,43.14282,0.0886242,19.916428,Yes
Robot_1,Urban,48.5234,0.10172657,12.388776,No
Robot_3,Rural,44.615776,0.09311127,17.087194,Yes
Robot_1,Rural,51.715485,0.101743445,12.660378,No
Robot_2,Urban,54.35305,0.10593847,10.012629,Yes
Robot_3,Urban,49.85993,0.10215821,12.295537,No
Robot_1,Rural,52.991394,0.10214069,16.275671,No
Robot_2,Urban,50.38788,0.10094377,16.327345,No
Robot_2,Rural,50.766254,0.09969037,15.184433,No
Robot_1,Rural,50.835083,0.10068506,14.342433,No
Robot_1,Rural,49.203777,0.10093817,12.699794,No
Robot_2,Urban,51.165676,0.098363765,19.941668,No
Robot_1,Rural,52.6724,0.10346463,13.993821,Yes
Robot_3,Urban,49.74939,0.10251384,11.367035,No
Robot_2,Rural,48.9665,0.1015162,10.036453,No
Robot_1,Rural,50.444107,0.10058883,15.733061,Yes
Robot_3,Rural,50.477093,0.103767075,15.6288,Yes
Robot_3,Urban,50.06707,0.1014088,15.243936,No
Robot_2,Urban,50.500652,0.10055982,17.729445,No
Robot_2,Rural,50.73145,0.09978493,14.77571,No
Robot_3,Rural,45.489433,0.09503675,19.686268,Yes
Robot_3,Urban,47.37016,0.0989591,19.877089,Yes
Robot_3,Rural,49.812313,0.10324313,11.013127,No
Robot_2,Urban,57.85664,0.10651757,10.725954,Yes
Robot_2,Rural,50.734993,0.099718936,14.660916,No
Robot_3,Rural,50.745365,0.1009501,19.374998,No
Robot_3,Rural,49.674255,0.10351263,10.537359,No
Robot_3,Urban,49.172417,0.101816505,10.052582,Yes
Robot_2,Rural,53.353935,0.0968702,19.985384,No
Robot_1,Urban,46.464634,0.097487606,11.315028,No
Robot_3,Urban,54.627007,0.10657892,10.035757,Yes
Robot_3,Urban,50.158188,0.10109537,16.572601,No
Robot_2,Urban,50.374805,0.10098824,16.14208,No
Robot_2,Rural,50.75343,0.09971235,14.966247,No
Robot_2,Rural,50.683342,0.099810384,13.817429,No
Robot_3,Urban,50.087585,0.10160185,14.67124,No
Robot_3,Urban,50.34985,0.1004391,18.595873,No
Robot_2,Rural,50.73251,0.09974001,14.704418,No
Robot_3,Urban,50.07042,0.101397224,15.295444,No
Robot_3,Urban,50.29291,0.100633726,18.12693,No
Robot_3,Rural,49.527885,0.103688374,10.289088,No
Robot_2,Rural,59.505173,0.11130422,10.805187,Yes
Robot_1,Rural,51.498306,0.10211867,10.9332075,No
Robot_3,Rural,45.787224,0.098158225,10.055282,Yes
Robot_3,Urban,48.482178,0.09853652,12.776814,Yes
Robot_1,Rural,49.52609,0.10030185,11.464334,No
Robot_3,Rural,45.25616,0.096676186,17.406275,Yes
Robot_3,Urban,47.730896,0.09862117,19.812063,Yes
Robot_3,Rural,50.44218,0.10179789,17.727438,No
Robot_2,Urban,50.93251,0.101174764,11.185066,Yes
Robot_2,Rural,50.768303,0.099817365,16.67826,No
Robot_3,Rural,40.722565,0.09265909,19.931774,Yes
Robot_1,Urban,52.49918,0.099998966,19.912287,No
Robot_2,Rural,49.293465,0.098494396,11.365001,Yes
Robot_1,Rural,47.078384,0.09579771,19.845308,No
Robot_1,Rural,53.05594,0.10243528,14.938637,No
Robot_2,Urban,50.43355,0.10114889,15.780677,No
Robot_1,Urban,49.883224,0.10248186,16.272388,Yes
Robot_1,Rural,51.028187,0.1002939,17.277588,No
Robot_1,Rural,50.328224,0.10036117,13.809818,No
Robot_1,Rural,49.568913,0.099285774,17.035887,Yes
Robot_3,Rural,50.187042,0.103222296,16.94941,Yes
Robot_3,Urban,50.0442,0.10148475,14.897119,No
Robot_1,Urban,49.027847,0.101539925,13.4184,No
Robot_3,Urban,50.198956,0.10095586,17.10557,No
