Robot_ID,Region,Motor_Temperature,Vibration_Level,Power_Consumption,Failure
Robot_1,Rural,57.896027,0.11213937,18.590837,Yes
Robot_2,Rural,49.01036,0.099086605,14.768756,Yes
Robot_3,Rural,47.430305,0.10547718,18.100685,Yes
Robot_1,Rural,57.89603,0.112139374,18.59084,Yes
Robot_2,Rural,49.02012,0.09908473,14.767262,Yes
Robot_3,Rural,47.430325,0.10547704,18.100666,Yes
Robot_1,Rural,57.896027,0.11213937,18.590837,Yes
Robot_2,Rural,49.017986,0.09908514,14.767597,Yes
Robot_3,Rural,47.430325,0.10547704,18.100664,Yes
Robot_1,Rural,57.896034,0.1121394,18.590843,Yes
Robot_2,Rural,49.015053,0.09908571,14.768043,Yes
Robot_3,Rural,47.43033,0.10547701,18.10066,Yes
Robot_1,Rural,57.89603,0.11213938,18.590841,Yes
Robot_2,Rural,49.01146,0.0990864,14.768589,Yes
Robot_3,Rural,47.43035,0.10547682,18.100632,Yes
Robot_1,Rural,57.89603,0.112139374,18.59084,Yes
Robot_2,Rural,49.01961,0.099084824,14.767331,Yes
Robot_3,Rural,47.430344,0.10547689,18.100643,Yes
Robot_1,Rural,57.896027,0.112139374,18.59084,Yes
Robot_2,Rural,49.013145,0.09908607,14.768333,Yes
Robot_3,Rural,47.430325,0.10547704,18.100666,Yes
Robot_1,Rural,57.896027,0.112139374,18.590837,Yes
Robot_2,Rural,49.019974,0.09908476,14.767291,Yes
Robot_3,Rural,47.430332,0.10547696,18.100653,Yes
Robot_1,Rural,57.896023,0.11213936,18.590836,Yes
Robot_2,Rural,49.024235,0.09908392,14.766647,Yes
Robot_3,Rural,47.430317,0.10547708,18.100672,Yes
Robot_1,Rural,57.896027,0.11213937,18.590836,Yes
Robot_2,Rural,49.028183,0.099082604,14.765612,Yes
Robot_3,Rural,47.430325,0.10547703,18.100662,Yes
Robot_1,Rural,57.896023,0.11213936,18.590836,Yes
Robot_2,Rural,49.02815,0.09908297,14.765919,Yes
Robot_3,Rural,47.43032,0.105477065,18.100668,Yes
Robot_1,Rural,57.89603,0.112139374,18.59084,Yes
Robot_2,Rural,49.027477,0.099083304,14.766162,Yes
Robot_3,Rural,47.43033,0.105477,18.100658,Yes
Robot_1,Rural,57.896027,0.112139374,18.590837,Yes
Robot_2,Rural,49.025463,0.09908369,14.766463,Yes
Robot_3,Rural,47.430325,0.10547702,18.100662,Yes
Robot_1,Rural,57.896027,0.11213937,18.590836,Yes
Robot_2,Rural,49.028175,0.099082686,14.765669,Yes
Robot_3,Rural,47.43034,0.105476916,18.100647,Yes
Robot_1,Rural,57.896023,0.11213936,18.590836,Yes
Robot_2,Rural,49.025394,0.099083684,14.766474,Yes
Robot_3,Rural,47.43032,0.105477065,18.10067,Yes
Robot_1,Rural,57.896027,0.11213936,18.590836,Yes
Robot_2,Rural,49.028168,0.099082775,14.765752,Yes
Robot_3,Rural,47.430336,0.105476946,18.10065,Yes
Robot_1,Rural,57.896023,0.11213935,18.590832,Yes
Robot_2,Rural,49.028267,0.099081576,14.764819,Yes
Robot_3,Rural,47.43033,0.105477005,18.10066,Yes
Robot_1,Rural,57.896023,0.11213936,18.590834,Yes
Robot_2,Rural,49.028393,0.099080116,14.763661,Yes
Robot_3,Rural,47.43034,0.1054769,18.100645,Yes
Robot_1,Rural,57.896023,0.11213935,18.590834,Yes
Robot_2,Rural,49.028404,0.099079974,14.763558,Yes
Robot_3,Rural,47.430332,0.105476975,18.100657,Yes
Robot_1,Rural,57.896027,0.11213937,18.590836,Yes
Robot_2,Rural,49.028282,0.099081434,14.764723,Yes
