Machine_ID,Temperature,Vibration,Operating_Hours,Color,Maintenance_Required
1.0,45.104755,0.24446662,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.1048,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.10481,0.24446663,311.0,white,Yes
1.0,45.104816,0.24446665,311.0,white,Yes
1.0,45.104755,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446662,311.0,white,Yes
1.0,45.104755,0.24446663,311.0,white,Yes
1.0,45.1048,0.24446663,311.0,white,Yes
1.0,45.104816,0.24446666,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446662,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104755,0.24446663,311.0,white,Yes
1.0,45.104774,0.24446662,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.104797,0.24446665,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.104782,0.24446663,311.0,white,Yes
1.0,45.104794,0.24446663,311.0,white,Yes
1.0,45.104794,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104813,0.24446663,311.0,white,Yes
1.0,45.104813,0.24446665,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
1.0,45.10477,0.24446663,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.10474,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446662,311.0,white,Yes
1.0,45.1048,0.24446663,311.0,white,Yes
1.0,45.104794,0.24446665,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.10477,0.24446663,311.0,white,Yes
1.0,45.104794,0.24446663,311.0,white,Yes
1.0,45.10477,0.24446663,311.0,white,Yes
1.0,45.104797,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446665,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.10483,0.24446665,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.104816,0.24446665,311.0,white,Yes
1.0,45.10477,0.24446662,311.0,white,Yes
1.0,45.104763,0.24446662,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.10477,0.24446663,311.0,white,Yes
1.0,45.10477,0.24446662,311.0,white,Yes
1.0,45.104797,0.24446663,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
1.0,45.10477,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.10482,0.24446665,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.104816,0.24446665,311.0,white,Yes
1.0,45.104813,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446666,311.0,white,Yes
1.0,45.10476,0.24446663,311.0,white,Yes
1.0,45.1048,0.24446665,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104816,0.24446663,311.0,white,Yes
1.0,45.104755,0.24446663,311.0,white,Yes
1.0,45.104813,0.24446665,311.0,white,Yes
1.0,45.1048,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
1.0,45.104797,0.24446663,311.0,white,Yes
1.0,45.10482,0.24446665,311.0,white,Yes
1.0,45.10477,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104782,0.24446663,311.0,white,Yes
1.0,45.104782,0.24446663,311.0,white,Yes
1.0,45.1048,0.24446666,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
1.0,45.104774,0.24446663,311.0,white,Yes
1.0,45.104813,0.24446665,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
1.0,45.104786,0.24446663,311.0,white,Yes
1.0,45.104782,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104755,0.24446662,311.0,white,Yes
1.0,45.104786,0.24446663,311.0,white,Yes
1.0,45.104782,0.24446663,311.0,white,Yes
1.0,45.10478,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446666,311.0,white,Yes
1.0,45.104805,0.24446663,311.0,white,Yes
1.0,45.10479,0.24446663,311.0,white,Yes
1.0,45.104797,0.24446663,311.0,white,Yes
1.0,45.104805,0.24446665,311.0,white,Yes
