Vehicle_ID,Mileage,Age_Years,Usage,Color,Maintenance_Required
1,82596,8,Low,white,Yes
1,120913,7,Medium,white,Yes
1,83804,5,Medium,white,No
1,114303,5,Medium,white,Yes
1,108071,8,Medium,white,Yes
1,131424,2,Low,white,Yes
1,58759,4,Low,white,No
1,69135,4,High,white,Yes
1,97149,5,High,white,Yes
1,137467,9,High,white,Yes
1,38419,7,High,white,Yes
1,35057,5,Medium,white,No
1,13975,7,Medium,white,No
1,92057,4,High,white,Yes
1,129792,7,Medium,white,Yes
1,86685,9,Medium,white,Yes
1,120770,5,High,white,Yes
1,50963,6,High,white,Yes
1,144313,4,Low,white,Yes
1,123504,6,High,white,Yes
1,143570,6,Medium,white,Yes
1,85057,9,Low,white,Yes
1,146327,8,High,white,Yes
1,50678,4,High,white,Yes
1,128561,2,Medium,white,Yes
1,131596,5,Low,white,Yes
1,31332,3,High,white,Yes
1,93576,9,Medium,white,Yes
1,62845,2,High,white,Yes
1,64297,9,High,white,Yes
1,123278,9,Low,white,Yes
1,11232,8,Low,white,Yes
1,46404,5,High,white,Yes
1,130881,6,Medium,white,Yes
1,134137,3,High,white,Yes
1,56829,8,Low,white,Yes
1,23652,2,Low,white,No
1,29540,9,Medium,white,Yes
1,94717,9,Low,white,Yes
1,135120,3,Low,white,Yes
1,29371,4,Medium,white,No
1,131481,9,Medium,white,Yes
1,100585,3,Low,white,No
1,128790,3,Medium,white,Yes
1,73631,3,High,white,Yes
1,124210,8,Low,white,Yes
1,91831,5,Low,white,No
1,48432,5,Low,white,No
1,39924,1,Low,white,No
1,118999,9,Medium,white,Yes
1,133395,6,Medium,white,Yes
1,74888,7,High,white,Yes
1,45890,3,High,white,Yes
1,64935,5,Low,white,No
1,46533,7,High,white,Yes
1,77758,5,High,white,Yes
1,86826,7,Low,white,Yes
1,135542,3,Low,white,Yes
1,135881,1,Low,white,Yes
1,120023,7,Low,white,Yes
1,47019,7,Low,white,No
1,44319,9,High,white,Yes
1,127620,6,Low,white,Yes
1,21241,3,High,white,Yes
1,143468,1,Low,white,Yes
1,76867,4,High,white,Yes
1,115421,1,Medium,white,No
1,88937,3,Medium,white,No
1,95492,6,Medium,white,No
1,77164,8,Low,white,Yes
1,123785,2,High,white,Yes
1,76017,6,High,white,Yes
1,67305,1,Low,white,No
1,96447,2,High,white,Yes
1,75400,1,High,white,Yes
1,40851,9,Low,white,Yes
1,146487,1,Low,white,Yes
1,68115,8,High,white,Yes
1,14126,8,Low,white,Yes
1,13678,6,High,white,Yes
1,13591,2,Low,white,No
1,43564,1,Medium,white,No
1,21649,6,Low,white,No
1,117422,2,Low,white,No
1,99300,5,Low,white,No
1,23515,9,Medium,white,Yes
1,12567,5,High,white,Yes
1,22042,7,High,white,Yes
1,127391,9,Low,white,Yes
1,52302,6,Medium,white,No
1,79855,5,High,white,Yes
1,102876,7,High,white,Yes
1,21530,7,Medium,white,No
1,63961,7,Medium,white,No
1,130681,7,High,white,Yes
1,66872,2,High,white,Yes
1,120041,1,Medium,white,Yes
1,85033,3,Low,white,No
1,95348,4,Low,white,No
1,99348,4,Low,white,No
2,113874,9,Low,black,Yes
2,140517,5,Medium,black,Yes
2,110291,1,Medium,black,Yes
2,112165,2,Low,black,Yes
2,57402,9,Low,black,Yes
2,64861,4,Low,black,Yes
2,111467,7,Medium,black,Yes
2,43890,4,Low,black,Yes
2,89130,8,Medium,black,Yes
2,139538,4,Low,black,No
2,32621,7,Low,black,Yes
2,134056,4,Low,black,Yes
2,18966,4,Medium,black,Yes
2,47182,4,Medium,black,Yes
2,37669,2,Medium,black,Yes
2,115026,3,Medium,black,Yes
2,10294,6,Medium,black,Yes
2,17620,4,Low,black,Yes
2,47075,1,Low,black,Yes
2,44774,4,Low,black,Yes
2,126285,5,Medium,black,No
2,10039,7,Medium,black,No
2,87966,6,High,black,Yes
2,68612,5,Medium,black,Yes
2,57564,9,High,black,No
2,109741,9,Medium,black,Yes
2,58480,5,Medium,black,Yes
2,22118,6,Low,black,Yes
2,64010,4,Low,black,Yes
2,23618,7,Low,black,Yes
2,22706,3,Medium,black,Yes
2,126266,8,High,black,Yes
2,103979,2,High,black,Yes
2,18274,4,Medium,black,Yes
2,45433,8,Low,black,Yes
2,110767,4,Medium,black,Yes
2,67611,3,Low,black,Yes
2,76833,1,Medium,black,Yes
2,124145,2,High,black,Yes
2,102416,3,Medium,black,Yes
2,139138,9,High,black,Yes
2,90649,4,High,black,Yes
2,45782,8,Low,black,Yes
2,123963,9,High,black,Yes
2,67970,3,High,black,No
2,122500,7,Low,black,Yes
2,97104,1,High,black,Yes
2,82428,1,High,black,Yes
2,101107,3,Medium,black,Yes
2,147493,7,Low,black,Yes
2,67594,3,Low,black,Yes
2,109308,3,Medium,black,Yes
2,25607,1,Low,black,Yes
2,11867,4,High,black,No
2,53392,9,High,black,Yes
2,38973,3,Medium,black,Yes
2,51949,1,High,black,Yes
2,86249,1,Low,black,Yes
2,34000,1,High,black,Yes
2,114636,7,Low,black,Yes
2,25946,4,Medium,black,Yes
2,109295,4,Low,black,No
2,94018,3,Low,black,Yes
2,119016,8,Medium,black,Yes
2,56332,9,Medium,black,Yes
2,11038,1,High,black,Yes
2,117798,1,Medium,black,No
2,113518,8,High,black,Yes
2,79949,6,Medium,black,Yes
2,143110,2,Medium,black,Yes
2,138416,1,Low,black,Yes
2,129402,3,Low,black,Yes
2,133164,4,Low,black,Yes
2,141113,5,Medium,black,Yes
2,86484,1,Medium,black,Yes
2,17489,7,Medium,black,Yes
2,40764,6,Medium,black,Yes
